Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC,FPR Gap (sex),FPR Gap (race),Bias Amplification
Neural Network,0.767,0.621,0.782,0.692,0.814,0.076,0.273,0.087
Logistic Regression,0.754,0.601,0.784,0.681,0.808,0.083,0.312,0.101
AdaBoost,0.786,0.689,0.658,0.673,0.831,0.05,0.182,0.015
AdaBoost Debiased Final,0.427,0.363,0.942,0.524,0.831,0.062,1.0,0.534
Logistic Regression Debiased Final,0.689,0.683,0.133,0.223,0.808,0.03,0.168,0.27
Neural Network Debiased Final,0.689,0.683,0.133,0.223,0.814,0.024,0.159,0.27
