mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.23508286476135254,0.04900173885744769,0.016184377670288085,0.0024617307896053395,True,3,sqrt,5,2,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.5868055555555556,0.5759865659109992,0.5742411812961444,0.615,0.5854077253218885,0.5874882056169175,0.014625078521643575,55,0.5955725840783312,0.5968280467445742,0.587054048280282,0.5875,0.5904963041182683,0.5914901966442911,0.00404344988285
0.38210043907165525,0.0510711037502757,0.022040510177612306,0.0038244462328931063,True,3,sqrt,5,2,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.5856255545696539,0.5771476230191827,0.57356608478803,0.6091370558375635,0.5934819897084048,0.587791661584567,0.012715032848942341,47,0.5910473707083876,0.5987577639751552,0.591330601682122,0.5885339538819547,0.5922000847816872,0.5923739550058613,0.0034169363031627377
0.2391209125518799,0.053783437764059645,0.017432403564453126,0.004093703674475122,True,3,sqrt,5,5,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.5868055555555556,0.5759865659109992,0.5742411812961444,0.615,0.5854077253218885,0.5874882056169175,0.014625078521643575,55,0.5955725840783312,0.5968280467445742,0.587054048280282,0.5875,0.5904963041182683,0.5914901966442911,0.00404344988285
0.3856933116912842,0.055989963033319885,0.021087455749511718,0.0023533095646081073,True,3,sqrt,5,5,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.5856255545696539,0.5771476230191827,0.57356608478803,0.6091370558375635,0.5934819897084048,0.587791661584567,0.012715032848942341,47,0.5910473707083876,0.5987577639751552,0.591330601682122,0.5885339538819547,0.5922000847816872,0.5923739550058613,0.0034169363031627377
0.21659350395202637,0.04351745910236662,0.015979623794555663,0.006198283992944147,True,3,sqrt,10,2,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.5862966175195143,0.575503355704698,0.5742411812961444,0.6134663341645885,0.5825410544511668,0.5864097086272223,0.014241220816205716,71,0.5952735788801362,0.5968280467445742,0.5866780529461998,0.5876718034152436,0.5905612244897959,0.5914025412951899,0.004034056286692439
0.5334355354309082,0.14682244297381067,0.03739771842956543,0.017107099483562448,True,3,sqrt,10,2,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.5851063829787234,0.5766666666666667,0.5730897009966778,0.6099410278011794,0.5899653979238755,0.5869538352734246,0.012953251847118444,67,0.5910473707083876,0.5986338232250051,0.590948275862069,0.588583509513742,0.593949723050703,0.5926325404719813,0.0034494789978726887
0.3016655445098877,0.12811685321349023,0.01402735710144043,0.003282692493597783,True,3,sqrt,10,5,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.5862966175195143,0.575503355704698,0.5742411812961444,0.6134663341645885,0.5825410544511668,0.5864097086272223,0.014241220816205716,71,0.5952735788801362,0.5968280467445742,0.5866780529461998,0.5876718034152436,0.5905612244897959,0.5914025412951899,0.004034056286692439
0.37348380088806155,0.057413446983888644,0.02229628562927246,0.006943937262505374,True,3,sqrt,10,5,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.5851063829787234,0.5766666666666667,0.5730897009966778,0.6099410278011794,0.5899653979238755,0.5869538352734246,0.012953251847118444,67,0.5910473707083876,0.5986338232250051,0.590948275862069,0.588583509513742,0.593949723050703,0.5926325404719813,0.0034494789978726887
0.21392998695373536,0.03916654657041966,0.015285682678222657,0.00463418959050293,True,3,sqrt,20,2,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.5862966175195143,0.575503355704698,0.5726004922067268,0.6144879267277269,0.5825410544511668,0.5862858893219666,0.014919329358580594,77,0.5954816709292413,0.5967035259753808,0.5869006849315068,0.5875494482615032,0.5907352316192095,0.5914741123433684,0.0040068058082583366
0.4027707099914551,0.10120061353787266,0.02803463935852051,0.010538207481245298,True,3,sqrt,20,2,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.5857142857142857,0.5778517901748543,0.5730897009966778,0.6152556580050293,0.5887445887445888,0.5881312047270872,0.014655148590875576,43,0.5878214992306001,0.5982198302628855,0.591937917654667,0.5896733403582719,0.5935236472092033,0.5922352469431256,0.0035667394545128564
