mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.249619197845459,0.053703273521257554,0.015562343597412109,0.003017198742332058,True,3,sqrt,5,2,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.5868055555555556,0.5759865659109992,0.5742411812961444,0.615,0.5854077253218885,0.5874882056169175,0.014625078521643575,65,0.5955725840783312,0.5968280467445742,0.587054048280282,0.5875,0.5904963041182683,0.5914901966442911,0.00404344988285
0.41818947792053224,0.05100732872332826,0.021924495697021484,0.00333830156131819,True,3,sqrt,5,2,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.5856255545696539,0.5771476230191827,0.57356608478803,0.6091370558375635,0.5934819897084048,0.587791661584567,0.012715032848942341,57,0.5910473707083876,0.5987577639751552,0.591330601682122,0.5885339538819547,0.5922000847816872,0.5923739550058613,0.0034169363031627377
0.19472503662109375,0.025031234376302742,0.015084791183471679,0.003185240384902197,True,3,sqrt,5,5,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.5868055555555556,0.5759865659109992,0.5742411812961444,0.615,0.5854077253218885,0.5874882056169175,0.014625078521643575,65,0.5955725840783312,0.5968280467445742,0.587054048280282,0.5875,0.5904963041182683,0.5914901966442911,0.00404344988285
0.3808289051055908,0.034297213701819616,0.021113061904907228,0.0021622562084357244,True,3,sqrt,5,5,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.5856255545696539,0.5771476230191827,0.57356608478803,0.6091370558375635,0.5934819897084048,0.587791661584567,0.012715032848942341,57,0.5910473707083876,0.5987577639751552,0.591330601682122,0.5885339538819547,0.5922000847816872,0.5923739550058613,0.0034169363031627377
0.18580250740051268,0.016924067818314913,0.01456279754638672,0.004082905439092469,True,3,sqrt,10,2,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.5862966175195143,0.575503355704698,0.5742411812961444,0.6134663341645885,0.5825410544511668,0.5864097086272223,0.014241220816205716,85,0.5952735788801362,0.5968280467445742,0.5866780529461998,0.5876718034152436,0.5905612244897959,0.5914025412951899,0.004034056286692439
0.38422245979309083,0.04644606288087659,0.02573995590209961,0.006353895057352394,True,3,sqrt,10,2,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.5851063829787234,0.5766666666666667,0.5730897009966778,0.6099410278011794,0.5899653979238755,0.5869538352734246,0.012953251847118444,81,0.5910473707083876,0.5986338232250051,0.590948275862069,0.588583509513742,0.593949723050703,0.5926325404719813,0.0034494789978726887
0.19217133522033691,0.019442435340704983,0.014275503158569337,0.002607130303910283,True,3,sqrt,10,5,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.5862966175195143,0.575503355704698,0.5742411812961444,0.6134663341645885,0.5825410544511668,0.5864097086272223,0.014241220816205716,85,0.5952735788801362,0.5968280467445742,0.5866780529461998,0.5876718034152436,0.5905612244897959,0.5914025412951899,0.004034056286692439
0.38272438049316404,0.04977523454743086,0.021346378326416015,0.002521019707900331,True,3,sqrt,10,5,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.5851063829787234,0.5766666666666667,0.5730897009966778,0.6099410278011794,0.5899653979238755,0.5869538352734246,0.012953251847118444,81,0.5910473707083876,0.5986338232250051,0.590948275862069,0.588583509513742,0.593949723050703,0.5926325404719813,0.0034494789978726887
0.17888984680175782,0.023939239493964513,0.011994695663452149,0.0012734776670749043,True,3,sqrt,20,2,50,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.5862966175195143,0.575503355704698,0.5726004922067268,0.6144879267277269,0.5825410544511668,0.5862858893219666,0.014919329358580594,97,0.5954816709292413,0.5967035259753808,0.5869006849315068,0.5875494482615032,0.5907352316192095,0.5914741123433684,0.0040068058082583366
0.40381584167480467,0.026887943215583982,0.021723175048828126,0.0040044758586143805,True,3,sqrt,20,2,100,"{'clf__bootstrap': True, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.5857142857142857,0.5778517901748543,0.5730897009966778,0.6152556580050293,0.5887445887445888,0.5881312047270872,0.014655148590875576,53,0.5878214992306001,0.5982198302628855,0.591937917654667,0.5896733403582719,0.5935236472092033,0.5922352469431256,0.0035667394545128564
