mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0484717845916748,0.006908745047303222,0.012311744689941406,0.0032806871911141436,0.1,3,50,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 50}",0.49643705463182897,0.5123384253819037,0.47174447174447176,0.4741275571600481,0.4704463208685163,0.4850187659573537,0.01663684212289634,5,0.5044510385756676,0.5147805315019409,0.5016621335750983,0.4980188966778421,0.5156110615521855,0.5069047323765469,0.007075194853909448
0.08122611045837402,0.0070175646211145,0.020853042602539062,0.0052361314255831735,0.1,3,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.5081206496519721,0.5087108013937283,0.49106078665077474,0.48693586698337293,0.476303317535545,0.4942262844430786,0.012547971323127691,1,0.5229142185663925,0.5341981132075472,0.5283130744144678,0.5193403298350825,0.5372698041508331,0.5284071080348647,0.0067003024903760965
0.07990632057189942,0.02140092406297597,0.01621274948120117,0.00456325603041856,0.1,5,50,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 50}",0.49292452830188677,0.49406175771971494,0.4780023781212842,0.48184019370460046,0.4677804295942721,0.4829218574883517,0.009785549683327632,7,0.5584683357879234,0.5574644549763034,0.5420784666067685,0.5405892964521948,0.5554896142433234,0.5508180336133026,0.007817068520271196
0.10377736091613769,0.015160155609917412,0.013574028015136718,0.00354995531610996,0.1,5,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.4924506387921022,0.49941656942823803,0.47641509433962265,0.4881516587677725,0.47129186602870815,0.4855451654712887,0.010328697504478488,4,0.5820415326118749,0.5781571975272299,0.5687091017251636,0.5651266766020865,0.5704162976085031,0.5728901612149716,0.006250795515675319
0.05003786087036133,0.00580222926775146,0.012769603729248047,0.002468842737506355,0.3,3,50,"{'clf__learning_rate': 0.3, 'clf__max_depth': 3, 'clf__n_estimators': 50}",0.5069767441860465,0.4889406286379511,0.48086124401913877,0.4887839433293979,0.4628297362110312,0.48567845927671305,0.014277061523941488,3,0.5362149532710281,0.5354099324125772,0.5299703264094956,0.5378299120234604,0.5434272300469484,0.536570470832702,0.004327504768421602
0.08021936416625977,0.011239212679531147,0.010944509506225586,0.0018901642864420365,0.3,3,100,"{'clf__learning_rate': 0.3, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.5040840140023337,0.4883720930232558,0.47630057803468207,0.48056537102473496,0.4711425206124853,0.4840929153394983,0.01147895640331894,6,0.5503943908851884,0.552992700729927,0.5558153126826417,0.5627376425855514,0.563305978898007,0.5570492051562631,0.005172423219771323
0.05916376113891601,0.010078499008984321,0.013157415390014648,0.0033554258211626604,0.3,5,50,"{'clf__learning_rate': 0.3, 'clf__max_depth': 5, 'clf__n_estimators': 50}",0.5203252032520326,0.49248554913294795,0.4767309875141884,0.47461629279811096,0.4735576923076923,0.4875431450009945,0.01776901711524467,2,0.6126801152737752,0.5956826137689615,0.5950991831971996,0.5925925925925926,0.5890611289850833,0.5970231267635224,0.008169000732143623
0.08681735992431641,0.0040067188109332965,0.009037637710571289,0.0015755377756611144,0.3,5,100,"{'clf__learning_rate': 0.3, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.5063583815028901,0.48109965635738833,0.4760845383759733,0.47058823529411764,0.4613526570048309,0.47909669370704,0.015123023928099439,8,0.6530729465824239,0.6365727429557216,0.6465863453815262,0.6430661205383265,0.6323144104803493,0.6423225131876695,0.0073147387180244935
