Model,FPR (Female)_Raw,FPR (Male)_Raw,Baseline FPR (Male),Baseline FPR (Female),Baseline FPR Gap,FPR (Male),FPR (Female),FPR Gap (Postprocessed),Threshold (Male),Threshold (Female),Timestamp
AdaBoost,0.1339285714285714,0.16625,0.166,0.134,0.0323,1.0,1.0,0.0,0.1,0.1,2025-04-11T13:29:20.206064
Logistic Regression,0.1919642857142857,0.25875,0.259,0.192,0.0668,0.939,0.938,0.0012,0.12,0.12,2025-04-11T13:29:18.723019
Neural Network,0.1919642857142857,0.2575,0.258,0.192,0.0655,0.049,0.049,0.0004,0.84,0.84,2025-04-11T13:29:21.547200
