Model,Equalized Odds Difference,Accuracy (Black),Precision (Black),Recall (Black),F1 (Black),Accuracy (White),Precision (White),Recall (White),F1 (White),Accuracy (Hispanic),Precision (Hispanic),Recall (Hispanic),F1 (Hispanic),Accuracy (Native American),Precision (Native American),Recall (Native American),F1 (Native American),Accuracy (Other),Precision (Other),Recall (Other),F1 (Other),Accuracy (Asian),Precision (Asian),Recall (Asian),F1 (Asian)
Logistic Regression,0.6492,0.7298,0.7042,0.5055,0.5885,0.7619,0.6171,0.5013,0.553,0.7736,0.6573,0.5208,0.5805,0.7667,0.3,0.4,0.3333,0.7725,0.5538,0.53,0.5392,0.8,0.4333,0.5,0.46
AdaBoost,0.6461,0.7455,0.7078,0.5692,0.631,0.7646,0.6111,0.5416,0.5739,0.7799,0.6574,0.5667,0.6083,0.7333,0.1,0.2,0.1333,0.76,0.5244,0.48,0.4989,0.8571,0.8,0.6,0.6667
Neural Network,0.7177,0.7408,0.7217,0.524,0.6071,0.7722,0.6317,0.5364,0.5801,0.7723,0.6578,0.5125,0.5755,0.7667,0.3,0.4,0.3333,0.78,0.5559,0.59,0.572,0.6857,0.3,0.5,0.3667
